issue,dest_key,dest_heading,dest_story,present_kind,present_source_id,present_source_content,present_source_story,present_source_style
missing_underlined_word,5096,7.8.1 Coordinates conversion,u7b37,margin_number,u402a3,7.8.1,u3ec54,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5096,7.8.1 Coordinates conversion,u7b37,margin_number,u3ee69,7.8.1,u3d89a,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5113,7.8.2 Time conversion,u7b37,margin_number,u3f832,7.8.2,u3e110,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5113,7.8.2 Time conversion,u7b37,margin_number,u3f857,7.8.2,u3f843,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5107,7.8.3 Angular conversion,u7b37,margin_number,u3fadd,7.8.3,u3e4d2,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5107,7.8.3 Angular conversion,u7b37,margin_number,u3f534,7.8.3,u3ddf0,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5102,7.8.4 Unit conversion,u7b37,margin_number,u3f1da,7.8.4,u3dbd0,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5102,7.8.4 Unit conversion,u7b37,margin_number,u3f919,7.8.4,u3e230,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5102,7.8.4 Unit conversion,u7b37,margin_number,u3f0d9,7.8.4,u3dacb,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5102,7.8.4 Unit conversion,u7b37,margin_number,u3f6b1,7.8.4,u3df42,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5102,7.8.4 Unit conversion,u7b37,margin_number,u3f909,7.8.4,u3e213,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5102,7.8.4 Unit conversion,u7b37,margin_number,u3f88b,7.8.4,u3e181,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5102,7.8.4 Unit conversion,u7b37,margin_number,u3f740,7.8.4,u3e009,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5102,7.8.4 Unit conversion,u7b37,margin_number,u3f93f,7.8.4,u3e26e,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5106,7.9.3 Probability menu,u7b37,margin_number,u3f47e,7.9.3,u3dd61,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5106,7.9.3 Probability menu,u7b37,margin_number,u3fa4c,7.9.3,u3e422,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5106,7.9.3 Probability menu,u7b37,margin_number,u3fc9d,7.9.3,u3fc89,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5106,7.9.3 Probability menu,u7b37,margin_number,u3fb22,7.9.3,u3e527,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5103,8.1 Complex operations,u7b37,margin_number,u3f1f8,8.1,u3dbef,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5104,8.1.1 One-number complex operations,u7b37,margin_number,u3f3bd,8.1.1,u3f3a9,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5104,8.1.1 One-number complex operations,u7b37,margin_number,u3f2f7,8.1.1,u3f202,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5104,8.1.1 One-number complex operations,u7b37,margin_number,u3f33b,8.1.1,u3f327,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5104,8.1.1 One-number complex operations,u7b37,margin_number,u3f399,8.1.1,u3f385,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5104,8.1.1 One-number complex operations,u7b37,margin_number,u3f37c,8.1.1,u3f368,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5104,8.1.1 One-number complex operations,u7b37,margin_number,u3f317,8.1.1,u3f303,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5104,8.1.1 One-number complex operations,u7b37,margin_number,u3f35e,8.1.1,u3f34a,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5105,8.1.2 Two-number complex operations,u7b37,margin_number,u3f413,8.1.2,u3f3ff,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5105,8.1.2 Two-number complex operations,u7b37,margin_number,u3f454,8.1.2,u3f440,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5105,8.1.2 Two-number complex operations,u7b37,margin_number,u3f3f1,8.1.2,u3f3dd,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5105,8.1.2 Two-number complex operations,u7b37,margin_number,u3f3ce,8.1.2,u3f21e,CharacterStyle/code_styles%3across_ref
missing_underlined_word,5105,8.1.2 Two-number complex operations,u7b37,margin_number,u3f436,8.1.2,u3f422,CharacterStyle/code_styles%3across_ref
